iter	Passed	Remaining
429	1709	2265
430	1713	2262
431	1720	2262
432	1725	2259
433	1728	2254
434	1730	2248
435	1733	2241
436	1736	2236
437	1738	2230
438	1744	2229
439	1747	2223
440	1753	2222
441	1755	2216
442	1761	2214
443	1764	2209
444	1767	2203
445	1769	2197
446	1774	2195
447	1778	2191
448	1790	2196
449	1795	2194
450	1799	2190
451	1801	2184
452	1803	2177
453	1806	2172
454	1810	2169
455	1812	2162
456	1821	2164
457	1827	2162
458	1829	2156
459	1832	2150
460	1834	2144
461	1836	2138
462	1840	2134
463	1843	2129
464	1845	2123
465	1848	2117
466	1850	2111
467	1854	2108
468	1857	2102
469	1861	2099
470	1863	2093
471	1866	2087
472	1869	2083
473	1871	2077
474	1875	2073
475	1878	2067
476	1882	2064
477	1885	2059
478	1887	2053
479	1890	2047
480	1895	2045
481	1900	2041
482	1902	2036
483	1904	2030
484	1906	2024
485	1910	2020
486	1912	2014
487	1914	2008
488	1917	2004
489	1920	1998
490	1925	1996
491	1928	1990
492	1930	1985
493	1933	1980
494	1935	1974
495	1938	1969
496	1944	1967
497	1946	1962
498	1949	1957
499	1952	1952
500	1956	1948
501	1963	1947
502	1966	1942
503	1969	1938
504	1977	1937
505	1981	1934
506	1986	1932
507	1993	1930
508	1997	1926
509	2000	1921
510	2002	1916
511	2006	1912
512	2010	1908
513	2013	1904
514	2016	1899
515	2027	1901
516	2029	1896
517	2031	1890
518	2037	1888
519	2044	1887
520	2050	1885
521	2053	1880
522	2055	1874
523	2059	1870
524	2062	1866
525	2064	1860
526	2066	1855
527	2070	1851
528	2082	1854
529	2089	1853
530	2093	1848
531	2095	1843
532	2099	1839
533	2101	1833
534	2105	1829
535	2107	1824
536	2112	1821
537	2116	1817
538	2122	1815
539	2125	1811
540	2128	1805
541	2131	1801
542	2144	1805
543	2146	1799
544	2153	1798
545	2165	1800
546	2173	1800
547	2179	1798
548	2184	1794
549	2189	1791
550	2196	1789
551	2199	1785
552	2202	1780
553	2204	1774
554	2207	1769
555	2216	1769
556	2219	1765
557	2222	1760
558	2226	1756
559	2243	1763
560	2248	1759
561	2254	1757
562	2257	1752
563	2263	1749
564	2266	1744
565	2271	1741
566	2281	1742
567	2291	1742
568	2294	1738
569	2302	1736
570	2314	1738
571	2330	1743
572	2345	1748
573	2348	1742
574	2354	1740
575	2365	1741
576	2372	1738
577	2375	1734
578	2388	1736
579	2390	1730
580	2397	1729
581	2401	1725
582	2405	1720
583	2407	1715
584	2411	1710
585	2430	1717
586	2438	1715
587	2441	1710
588	2456	1714
589	2462	1711
590	2472	1711
591	2479	1708
592	2484	1705
593	2490	1702
594	2498	1700
595	2512	1703
596	2517	1699
597	2520	1694
598	2523	1689
599	2529	1686
600	2532	1681
601	2537	1677
602	2542	1673
603	2547	1670
604	2550	1665
605	2552	1659
606	2555	1654
607	2559	1650
608	2562	1645
609	2565	1640
610	2574	1639
611	2580	1636
612	2583	1630
613	2586	1626
614	2591	1622
615	2594	1617
616	2597	1612
617	2601	1608
618	2604	1602
619	2610	1599
620	2612	1594
621	2614	1588
622	2617	1583
623	2620	1579
624	2626	1575
625	2634	1574
626	2637	1568
627	2641	1564
628	2646	1560
629	2653	1558
630	2655	1552
631	2665	1551
632	2667	1546
633	2669	1541
634	2672	1536
635	2676	1532
636	2682	1528
637	2685	1523
638	2687	1518
639	2697	1517
640	2706	1515
641	2713	1513
642	2730	1515
643	2745	1517
644	2764	1521
645	2769	1517
646	2778	1515
647	2782	1511
648	2786	1506
649	2788	1501
650	2802	1502
651	2806	1497
652	2812	1494
653	2819	1491
654	2825	1488
655	2837	1488
656	2843	1484
657	2850	1481
658	2858	1479
659	2865	1475
660	2869	1471
661	2876	1468
662	2888	1468
663	2892	1463
664	2896	1459
665	2908	1458
666	2911	1453
667	2915	1448
668	2920	1445
669	2926	1441
670	2935	1439
671	2939	1434
672	2943	1430
673	2947	1425
674	2953	1422
675	2958	1417
676	2962	1413
677	2970	1410
678	2980	1408
679	2986	1405
680	2997	1404
681	3003	1400
682	3007	1395
683	3010	1390
684	3015	1386
685	3020	1382
686	3023	1377
687	3026	1372
688	3031	1368
689	3034	1363
690	3038	1358
691	3042	1354
692	3048	1350
693	3050	1344
694	3055	1340
695	3057	1335
696	3062	1331
697	3067	1327
698	3073	1323
699	3075	1318
700	3079	1313
701	3082	1308
702	3087	1304
703	3090	1299
704	3097	1296
705	3099	1290
706	3101	1285
707	3103	1280
708	3105	1274
709	3107	1269
710	3114	1265
711	3116	1260
712	3119	1255
713	3122	1250
714	3126	1246
715	3130	1241
716	3135	1237
717	3138	1232
718	3140	1227
719	3145	1223
720	3147	1218
721	3151	1213
722	3154	1208
723	3156	1203
724	3160	1198
725	3164	1194
726	3166	1189
727	3169	1184
728	3171	1178
729	3173	1173
730	3177	1169
731	3179	1163
732	3181	1158
733	3185	1154
734	3189	1149
735	3194	1145
736	3198	1141
737	3203	1137
738	3205	1132
739	3211	1128
740	3216	1124
741	3219	1119
742	3223	1115
743	3231	1112
744	3237	1108
745	3240	1103
746	3245	1099
747	3248	1094
748	3251	1089
749	3253	1084
750	3259	1080
751	3266	1077
752	3275	1074
753	3279	1069
754	3282	1065
755	3289	1061
756	3296	1058
757	3300	1053
758	3308	1050
759	3312	1045
760	3315	1041
761	3318	1036
762	3321	1031
763	3324	1026
764	3331	1023
765	3333	1018
766	3338	1014
767	3341	1009
768	3345	1004
769	3348	1000
770	3354	996
771	3358	991
772	3363	987
773	3366	982
774	3368	977
775	3378	975
776	3383	971
777	3388	966
778	3395	963
779	3400	959
780	3405	954
781	3412	951
782	3415	946
783	3419	942
784	3423	937
785	3429	933
786	3431	928
787	3435	924
788	3440	920
789	3447	916
790	3449	911
791	3453	906
792	3462	903
793	3464	898
794	3467	894
795	3479	891
796	3484	887
797	3487	882
798	3494	879
799	3496	874
800	3500	869
801	3504	865
802	3513	862
803	3518	857
804	3520	852
805	3523	847
806	3527	843
807	3531	839
808	3538	835
809	3545	831
810	3551	827
811	3558	823
812	3561	819
813	3564	814
814	3570	810
815	3579	807
816	3581	802
817	3589	798
818	3594	794
819	3598	789
820	3601	785
821	3612	782
822	3615	777
823	3619	773
824	3627	769
825	3634	765
826	3639	761
827	3645	757
828	3650	753
829	3654	748
830	3656	743
831	3661	739
832	3667	735
833	3679	732
834	3687	728
835	3690	724
836	3699	720
837	3703	715
838	3708	711
839	3720	708
840	3725	704
841	3731	700
842	3739	696
843	3749	692
844	3754	688
845	3759	684
846	3763	679
847	3765	675
848	3769	670
849	3771	665
850	3777	661
851	3783	657
852	3793	653
853	3797	649
854	3803	645
855	3806	640
856	3811	636
857	3814	631
858	3818	626
859	3822	622
860	3828	618
861	3833	613
862	3836	609
863	3839	604
864	3844	600
865	3849	595
866	3854	591
867	3862	587
868	3868	583
869	3872	578
870	3877	574
871	3883	570
872	3886	565
873	3889	560
874	3892	556
875	3895	551
876	3900	547
877	3903	542
878	3906	537
879	3911	533
880	3917	529
881	3921	524
882	3926	520
883	3928	515
884	3932	510
885	3936	506
886	3939	501
887	3946	497
888	3950	493
889	3953	488
890	3955	483
891	3963	479
892	3966	475
893	3970	470
894	3976	466
895	3982	462
896	3984	457
897	3987	452
898	3995	448
899	4001	444
900	4004	440
901	4011	435
902	4015	431
903	4018	426
904	4021	422
905	4028	418
906	4034	413
907	4036	409
908	4038	404
909	4048	400
910	4054	396
911	4058	391
912	4061	386
913	4065	382
914	4070	378
915	4075	373
916	4081	369
917	4084	364
918	4093	360
919	4096	356
920	4103	351
921	4111	347
922	4115	343
923	4119	338
924	4130	334
925	4132	330
926	4137	325
927	4141	321
928	4148	317
929	4155	312
930	4165	308
931	4176	304
932	4185	300
933	4187	295
934	4192	291
935	4196	286
936	4203	282
937	4211	278
938	4215	273
939	4222	269
940	4227	265
941	4231	260
942	4234	255
943	4237	251
944	4243	246
945	4248	242
946	4254	238
947	4262	233
948	4265	229
949	4267	224
950	4270	220
951	4276	215
952	4282	211
953	4288	206
954	4292	202
955	4297	197
956	4302	193
957	4311	189
958	4315	184
959	4321	180
960	4329	175
961	4333	171
962	4336	166
963	4340	162
964	4346	157
965	4350	153
966	4356	148
967	4360	144
968	4363	139
969	4366	135
970	4374	130
971	4377	126
972	4380	121
973	4383	117
974	4387	112
975	4393	108
976	4399	103
977	4403	99
978	4411	94
979	4414	90
980	4416	85
981	4420	81
982	4424	76
983	4430	72
984	4435	67
985	4446	63
986	4450	58
987	4453	54
988	4461	49
989	4466	45
990	4469	40
991	4478	36
992	4480	31
993	4484	27
994	4488	22
995	4495	18
996	4500	13
997	4504	9
998	4508	4
999	4512	0
