iter	Logloss
0	0.6882482257
1	0.6829038654
2	0.6776383561
3	0.6718479604
4	0.6676890449
5	0.6646257152
6	0.6598242337
7	0.6550663713
8	0.6505629424
9	0.64621159
10	0.6421129357
11	0.6381102025
12	0.6338501657
13	0.6295945899
14	0.6250367089
15	0.6212298539
16	0.6176011453
17	0.6131538859
18	0.6095484455
19	0.6054073975
20	0.6031187703
21	0.599007638
22	0.5948308042
23	0.5924726348
24	0.5890026286
25	0.5855621792
26	0.5836168508
27	0.5810408186
28	0.5781262687
29	0.5750995237
30	0.5720328737
31	0.5694158401
32	0.5665729506
33	0.5632348041
34	0.5616235604
35	0.5585631344
36	0.5556130711
37	0.5526688426
38	0.5499379655
39	0.5478671089
40	0.5447444141
41	0.5417968749
42	0.5392070789
43	0.5364076729
44	0.5347875984
45	0.5322824528
46	0.5299065576
47	0.5277862273
48	0.5257924161
49	0.5236197478
50	0.5217577428
51	0.5198573138
52	0.5179985435
53	0.5158933592
54	0.5137194382
55	0.5119999978
56	0.5097750708
57	0.5079137423
58	0.5059131518
59	0.5047324958
60	0.5027700223
61	0.5011896234
62	0.499602305
63	0.497747489
64	0.4960768625
65	0.4944290957
66	0.4930479066
67	0.4915927613
68	0.4902152906
69	0.489253565
70	0.488254771
71	0.4868652681
72	0.4853073301
73	0.4840763545
74	0.482351907
75	0.4809577266
76	0.4795324154
77	0.4779061866
78	0.4771364229
79	0.475839081
80	0.4747224296
81	0.4738243682
82	0.4724899948
83	0.4714943844
84	0.4702244602
85	0.4689663941
86	0.4675979289
87	0.4662811482
88	0.465040294
89	0.4637700967
90	0.4626017768
91	0.4613910455
92	0.4602163873
93	0.4588593867
94	0.4579294135
95	0.4570792025
96	0.4561721083
97	0.4550321276
98	0.4541164693
99	0.4536590029
100	0.4524918551
101	0.4515225525
102	0.4503498407
103	0.449198839
104	0.448017142
105	0.4470586921
106	0.4458566035
107	0.4450349134
108	0.443913463
109	0.4429111451
110	0.4420570469
111	0.4410747717
112	0.4403277404
113	0.4395433212
114	0.4388444988
115	0.4380686323
116	0.4374135324
117	0.4364932318
118	0.4356503392
119	0.434860855
120	0.4342748034
121	0.4334534679
122	0.4328219176
123	0.4324003398
124	0.4313742812
125	0.4307295525
126	0.4299874907
127	0.4292126677
128	0.4286496857
129	0.4280871686
130	0.4274135865
131	0.4272151829
132	0.4265208051
133	0.4257614462
134	0.4249903607
135	0.4241395984
136	0.4236724814
137	0.423406105
138	0.42296682
139	0.4227300024
